timestamp,time_s,position_m,velocity_m_s,temperature_c,sensor
2026-01-01T00:00:00Z,0.0,-0.110,-0.219,20.85,A
2026-01-01T00:00:00Z,0.5,0.401,1.021,21.76,B
2026-01-01T00:00:01Z,1.0,1.262,1.722,23.46,C
2026-01-01T00:00:01Z,1.5,1.401,0.278,20.80,A
2026-01-01T00:00:02Z,2.0,1.804,0.806,21.55,B
2026-01-01T00:00:02Z,2.5,2.861,2.114,23.46,C
2026-01-01T00:00:03Z,3.0,3.127,0.532,20.03,A
2026-01-01T00:00:03Z,3.5,3.730,1.205,22.25,B
2026-01-01T00:00:04Z,4.0,4.698,1.937,23.98,C
2026-01-01T00:00:04Z,4.5,5.100,0.803,20.07,A
2026-01-01T00:00:05Z,5.0,5.670,1.140,22.09,B
2026-01-01T00:00:05Z,5.5,6.945,2.550,23.43,C
2026-01-01T00:00:06Z,6.0,7.234,0.579,20.48,A
2026-01-01T00:00:06Z,6.5,7.899,1.329,21.78,B
2026-01-01T00:00:07Z,7.0,9.117,2.437,23.56,C
2026-01-01T00:00:07Z,7.5,9.505,0.776,20.30,A
2026-01-01T00:00:08Z,8.0,10.320,1.630,22.03,B
2026-01-01T00:00:08Z,8.5,11.587,2.534,23.10,C
2026-01-01T00:00:09Z,9.0,12.250,1.325,20.64,A
2026-01-01T00:00:09Z,9.5,13.285,2.070,21.77,B
2026-01-01T00:00:10Z,10.0,14.856,3.142,23.95,C
2026-01-01T00:00:10Z,10.5,15.397,1.081,20.43,A
2026-01-01T00:00:11Z,11.0,16.548,2.304,22.31,B
2026-01-01T00:00:11Z,11.5,18.196,3.294,23.53,C
2026-01-01T00:00:12Z,12.0,19.042,1.692,20.78,A
2026-01-01T00:00:12Z,12.5,20.161,2.238,22.20,B
2026-01-01T00:00:13Z,13.0,21.885,3.447,23.97,C
2026-01-01T00:00:13Z,13.5,22.726,1.683,20.71,A
2026-01-01T00:00:14Z,14.0,23.857,2.262,21.87,B
2026-01-01T00:00:14Z,14.5,25.647,3.581,23.55,C
